epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4225,2.07786,3.57294,2.10263,0.26258,0.40248,0.22092,0.08173,2.04901,3.31696,2.0055,0.000407609,0.000407609,0.000407609
2,26.7905,1.71214,2.43429,1.81345,0.16432,0.22548,0.10189,0.02925,2.44992,7.55429,2.51911,0.000807955,0.000807955,0.000807955
3,38.0841,1.76388,2.28947,1.83283,0.15647,0.12143,0.02888,0.00986,2.79928,5.59725,2.99795,0.0011918,0.0011918,0.0011918
4,49.2084,1.76083,2.24044,1.84445,0.18145,0.314,0.15701,0.04876,2.78708,2.49394,2.91541,0.00117575,0.00117575,0.00117575
5,60.129,1.68229,2.20706,1.82008,0.32665,0.45069,0.28073,0.10095,2.1245,2.24515,2.27509,0.001151,0.001151,0.001151
6,71.1588,1.6657,2.13741,1.80547,0.23194,0.38329,0.19177,0.074,2.20297,2.81992,2.24473,0.00112625,0.00112625,0.00112625
7,82.0897,1.65463,2.06867,1.76536,0.34328,0.50904,0.30787,0.12773,1.9098,2.78454,1.94361,0.0011015,0.0011015,0.0011015
8,93.0579,1.61576,2.0296,1.74044,0.26386,0.59155,0.37586,0.15597,1.90962,2.10859,1.89378,0.00107675,0.00107675,0.00107675
9,104.062,1.56893,1.94491,1.73804,0.3286,0.48971,0.34991,0.14404,1.9573,2.03431,1.99988,0.001052,0.001052,0.001052
10,115.226,1.57614,1.92331,1.70073,0.36739,0.64084,0.4118,0.16553,1.95992,1.85661,1.84397,0.00102725,0.00102725,0.00102725
11,126.216,1.53779,1.89853,1.69376,0.41687,0.57178,0.52627,0.26101,1.7441,1.68111,1.71642,0.0010025,0.0010025,0.0010025
12,137.213,1.53376,1.86194,1.68712,0.42895,0.63006,0.45445,0.20303,1.84641,1.75243,1.78352,0.00097775,0.00097775,0.00097775
13,148.381,1.52463,1.81707,1.68045,0.301,0.66358,0.45664,0.20042,1.74714,1.9422,1.77272,0.000953,0.000953,0.000953
14,159.813,1.46206,1.82405,1.61314,0.43594,0.60039,0.51217,0.26081,1.66229,1.59665,1.70652,0.00092825,0.00092825,0.00092825
15,171.436,1.43022,1.68381,1.61523,0.46672,0.63745,0.51349,0.25722,1.61255,1.68083,1.67365,0.0009035,0.0009035,0.0009035
16,182.974,1.41424,1.66943,1.61954,0.38724,0.69085,0.57178,0.28429,1.65098,1.64792,1.6671,0.00087875,0.00087875,0.00087875
17,194.236,1.41941,1.64987,1.60612,0.43888,0.67014,0.54858,0.27039,1.76064,1.53846,1.69573,0.000854,0.000854,0.000854
18,205.509,1.40214,1.62646,1.59541,0.45342,0.63171,0.54996,0.29103,1.67219,1.58203,1.74832,0.00082925,0.00082925,0.00082925
19,217.412,1.38665,1.58874,1.57329,0.44428,0.74836,0.58053,0.32052,1.52164,1.46138,1.51119,0.0008045,0.0008045,0.0008045
20,229.463,1.35149,1.58571,1.54831,0.42757,0.72738,0.59998,0.33193,1.46224,1.50964,1.56452,0.00077975,0.00077975,0.00077975
21,241.435,1.38931,1.56923,1.58328,0.54533,0.74464,0.63801,0.33063,1.72461,1.41653,1.61283,0.000755,0.000755,0.000755
22,253.302,1.2923,1.52398,1.50629,0.58158,0.80022,0.71117,0.43607,1.3383,1.28592,1.45716,0.00073025,0.00073025,0.00073025
23,265.405,1.31163,1.53072,1.54883,0.58595,0.6998,0.70506,0.41076,1.30137,1.30924,1.48782,0.0007055,0.0007055,0.0007055
24,277.372,1.31703,1.58224,1.52853,0.50512,0.75851,0.66265,0.39477,1.41163,1.29823,1.46103,0.00068075,0.00068075,0.00068075
25,289.267,1.27312,1.49779,1.51187,0.55147,0.73299,0.68744,0.39935,1.40735,1.22768,1.45577,0.000656,0.000656,0.000656
26,301.388,1.26653,1.43356,1.50519,0.48709,0.77777,0.65912,0.41044,1.30321,1.22239,1.39644,0.00063125,0.00063125,0.00063125
27,313.117,1.26175,1.44644,1.49947,0.45703,0.77586,0.65535,0.36021,1.56646,1.33468,1.52237,0.0006065,0.0006065,0.0006065
28,324.965,1.26494,1.45869,1.48147,0.5413,0.70907,0.66481,0.41139,1.29087,1.22075,1.37847,0.00058175,0.00058175,0.00058175
